x p0 p1 p2 p3 p4
104.34572 0.14630802 0.46753123 0.83566584 1.4934337 2.6681881
106.16795 0.1450562 0.46554318 0.83391789 1.4935463 2.6741913
108.022 0.14381493 0.46356304 0.83217257 1.493657 2.6802043
109.90844 0.14258413 0.46159079 0.83042991 1.4937657 2.6862272
111.82781 0.1413637 0.45962641 0.82868992 1.4938727 2.6922599
113.78071 0.14015358 0.45766988 0.8269526 1.4939778 2.6983027
115.7677 0.13895367 0.45572118 0.82521799 1.494081 2.7043555
117.7894 0.1377639 0.45378029 0.82348609 1.4941826 2.7104185
119.84641 0.13658418 0.45184719 0.82175692 1.4942823 2.7164916
121.93933 0.13541442 0.44992186 0.82003049 1.4943804 2.722575
124.06881 0.13425456 0.44800427 0.81830681 1.4944768 2.7286688
126.23547 0.1331045 0.44609441 0.8165859 1.4945715 2.7347729
128.43997 0.13196417 0.44419226 0.81486778 1.4946646 2.7408874
130.68297 0.1308335 0.44229779 0.81315245 1.4947562 2.7470124
132.96514 0.12971239 0.44041098 0.81143992 1.4948461 2.7531481
135.28716 0.12860078 0.43853182 0.80973021 1.4949345 2.7592943
137.64974 0.12749858 0.43666027 0.80802333 1.4950214 2.7654513
140.05357 0.12640572 0.43479632 0.80631929 1.4951068 2.771619
142.49938 0.12532213 0.43293994 0.8046181 1.4951907 2.7777975
144.98791 0.12424772 0.43109111 0.80291977 1.4952732 2.7839869
147.51989 0.12318243 0.42924982 0.8012243 1.4953543 2.7901872
150.09609 0.12212617 0.42741603 0.79953172 1.495434 2.7963985
152.71728 0.12107887 0.42558972 0.79784202 1.4955123 2.8026209
155.38424 0.12004047 0.42377088 0.79615523 1.4955893 2.8088544
158.09778 0.11901088 0.42195947 0.79447133 1.495665 2.815099
160.8587 0.11799003 0.42015548 0.79279035 1.4957393 2.8213549
163.66784 0.11697785 0.41835888 0.7911123 1.4958124 2.8276221
166.52604 0.11597428 0.41656965 0.78943717 1.4958843 2.8339006
169.43415 0.11497924 0.41478777 0.78776498 1.4959549 2.8401905
172.39305 0.11399265 0.41301321 0.78609573 1.4960243 2.8464919
175.40362 0.11301445 0.41124594 0.78442943 1.4960925 2.8528048
178.46676 0.11204458 0.40948595 0.78276609 1.4961595 2.8591292
181.5834 0.11108295 0.40773322 0.78110571 1.4962254 2.8654653
184.75446 0.11012951 0.40598771 0.7794483 1.4962901 2.8718131
187.9809 0.10918418 0.4042494 0.77779387 1.4963538 2.8781726
191.26369 0.1082469 0.40251828 0.77614242 1.4964163 2.8845438
194.60381 0.1073176 0.40079431 0.77449395 1.4964778 2.890927
198.00225 0.10639622 0.39907747 0.77284847 1.4965383 2.897322
201.46004 0.10548268 0.39736774 0.77120599 1.4965976 2.903729
204.97822 0.10457693 0.3956651 0.7695665 1.496656 2.9101479
208.55784 0.1036789 0.39396951 0.76793002 1.4967134 2.916579
212.19997 0.10278852 0.39228097 0.76629655 1.4967698 2.9230221
215.9057 0.10190573 0.39059943 0.76466609 1.4968252 2.9294774
219.67615 0.10103047 0.38892488 0.76303865 1.4968797 2.935945
223.51244 0.10016267 0.3872573 0.76141422 1.4969332 2.9424247
227.41573 0.099302278 0.38559665 0.75979282 1.4969858 2.9489169
231.38718 0.098449225 0.38394292 0.75817444 1.4970375 2.9554213
235.42799 0.097603452 0.38229608 0.75655909 1.4970884 2.9619382
239.53936 0.096764897 0.38065611 0.75494677 1.4971383 2.9684676
243.72254 0.0959335 0.37902297 0.75333748 1.4971874 2.9750095
247.97876 0.095109201 0.37739666 0.75173123 1.4972357 2.981564
252.30932 0.094291942 0.37577714 0.75012802 1.4972831 2.9881311
256.71549 0.093481662 0.37416439 0.74852784 1.4973297 2.9947109
261.19862 0.092678303 0.37255838 0.74693071 1.4973755 3.0013034
265.76004 0.091881807 0.3709591 0.74533662 1.4974206 3.0079086
270.40111 0.091092118 0.36936651 0.74374557 1.4974648 3.0145267
275.12324 0.090309177 0.36778059 0.74215757 1.4975083 3.0211577
279.92782 0.089532927 0.36620132 0.74057262 1.4975511 3.0278016
284.81632 0.088763314 0.36462867 0.73899071 1.4975931 3.0344585
289.79018 0.08800028 0.36306262 0.73741185 1.4976344 3.0411283
294.8509 0.087243771 0.36150315 0.73583604 1.497675 3.0478113
300 0.086493732 0.35995023 0.73426328 1.4977149 3.0545073
