t hx hy rawx rawy govx govy vehx vehy draw dgov dveh elag clear
4.96 -1.2052509 0 -2.3975227 0.13597074 -2.3966328 0.14848025 -2.3823459 0.17553672 1.2043673 1.2050103 1.1953348 0.043353361 0.71230725
5 -1.2308438 0 -2.420151 0.15983806 -2.4197784 0.17002013 -2.4114458 0.19167878 1.2043673 1.2054338 1.2011107 0.033861778 0.71766495
5.04 -1.2550691 0 -2.4402144 0.18823032 -2.4410083 0.19507144 -2.4383236 0.21118145 1.2043673 1.2062711 1.2068265 0.023769073 0.72283788
5.08 -1.2779001 0 -2.4571999 0.22192759 -2.4602828 0.22361213 -2.4627987 0.23441675 1.2043673 1.2077271 1.2125687 0.014327379 0.72817042
5.12 -1.2993113 0 -2.4704097 0.2617793 -2.4775253 0.25559791 -2.4847429 0.26160018 1.2043673 1.209992 1.2184984 0.014581211 0.73408975
5.16 -1.3192789 0 -2.4789012 0.30866866 -2.4926232 0.29095956 -2.5040556 0.29281358 1.2043673 1.2132377 1.2248229 0.029760012 0.74097765
5.2 -1.3377809 0 -2.4814179 0.36344774 -2.5054297 0.32959888 -2.5206358 0.32803885 1.2043673 1.2176127 1.2317654 0.052837776 0.7491478
5.24 -1.3547965 0 -2.4763201 0.42683124 -2.5157664 0.37138301 -2.5343589 0.36718694 1.2043673 1.2232368 1.2395388 0.083230458 0.7588669
5.28 -1.370307 0 -2.4615275 0.49923724 -2.5234267 0.4161374 -2.5450632 0.41011454 1.2043673 1.2301943 1.2483259 0.12217019 0.77037615
5.32 -1.384295 0 -2.4345052 0.5805674 -2.528182 0.4636378 -2.5525456 0.45662779 1.2043673 1.2385278 1.2582666 0.17118096 0.78390292
5.36 -1.3967451 0 -2.3923306 0.66993247 -2.5297906 0.51360228 -2.5565651 0.50647634 1.2043673 1.2482325 1.269448 0.2317392 0.7996589
5.4 -1.4076434 0 -2.3318914 0.76535322 -2.5280106 0.56568445 -2.5568532 0.55934224 1.2043673 1.2592531 1.2818974 0.30506331 0.81782448
5.44 -1.4169777 0 -2.2502602 0.86350469 -2.5226172 0.61947001 -2.5531292 0.61482758 1.2043673 1.2714834 1.2955763 0.39190214 0.83852041
5.48 -1.4247378 0 -2.1452548 0.95961203 -2.5134218 0.67447872 -2.5451206 0.67244453 1.2043673 1.2847702 1.3103768 0.49231681 0.86176891
5.52 -1.430915 0 -2.0161274 1.047629 -2.5002925 0.73017365 -2.5325908 0.73160988 1.2043673 1.2989204 1.3261249 0.60549145 0.88690464
5.56 -1.4355025 0 -1.8642259 1.1208016 -2.483172 0.78597879 -2.5153974 0.79164428 1.2043673 1.3137119 1.3426132 0.72964604 0.9026311
5.6 -1.4384951 0 -1.693394 1.1726153 -2.4620879 0.84130404 -2.4934515 0.85180295 1.2043673 1.3289063 1.359546 0.86198754 0.91892153
5.64 -1.4398895 0 -1.5098738 1.1979575 -2.4371525 0.89557466 -2.4667425 0.91129051 1.2043673 1.3442609 1.3765551 0.99889 0.93515857
5.68 -1.4396842 0 -1.3216023 1.1941761 -2.4085512 0.94826057 -2.43539 0.96929329 1.2043673 1.3595383 1.3932581 1.1362647 0.9505369
5.72 -1.4378794 0 -1.1370218 1.1616733 -2.3765186 0.99890047 -2.3996492 1.0250285 1.2043673 1.3745114 1.4092863 1.27 0.96427442
