t x y z hx hy rx ry rz dx dy rzrel acc
5.15 -0.58812463 -1.3144236 -0.049384417 0.91279417 -0.40841988 0.50722837 -1.8045275 1.3481426 1.095353 -0.49010386 -0.049384417 4.5756734
5.2 -0.53286238 -1.3377809 -0.047552826 0.9290145 -0.37004332 0.58195503 -1.7818329 1.3499742 1.1148174 -0.44405198 -0.047552826 4.4199455
5.25 -0.47667515 -1.358816 -0.035355339 0.94362219 -0.33102441 0.65567148 -1.7560452 1.3621717 1.1323466 -0.39722929 -0.035355339 3.3995542
5.3 -0.41966048 -1.3774923 -0.01545085 0.95659189 -0.29143089 0.72824979 -1.7272094 1.3820762 1.1479103 -0.34971706 -0.01545085 1.8915652
5.35 -0.36191733 -1.3937775 0.0078217233 0.96790107 -0.25133148 0.79956396 -1.6953753 1.4053488 1.1614813 -0.30159778 0.0078217233 1.475517
5.4 -0.30354595 -1.4076434 0.029389263 0.97753012 -0.2107958 0.86949019 -1.6605983 1.4269163 1.1730361 -0.25295496 0.029389263 2.9170672
5.45 -0.24464766 -1.4190657 0.044550326 0.98546231 -0.16989421 0.93790711 -1.6229388 1.4420774 1.1825548 -0.20387305 0.044550326 4.1658151
5.5 -0.18532469 -1.4280248 0.05 0.99168387 -0.1286977 1.004696 -1.582462 1.4475271 1.1900206 -0.15443724 0.05 4.6281198
5.55 -0.12568002 -1.434505 0.044550326 0.99618401 -0.087277794 1.0697408 -1.5392383 1.4420774 1.1954208 -0.10473335 0.044550326 4.1658151
5.6 -0.065817194 -1.4384951 0.029389263 0.99895492 -0.045706385 1.1329287 -1.4933427 1.4269163 1.1987459 -0.054847662 0.029389263 2.9170672
5.65 -0.0058401157 -1.4399882 0.0078217233 0.99999178 -0.0040556359 1.19415 -1.4448549 1.4053488 1.1999901 -0.0048667631 0.0078217233 1.475517
5.7 0.0541471 -1.4389816 -0.01545085 0.99929279 0.037602153 1.2532984 -1.393859 1.3820762 1.1991513 0.045122583 -0.01545085 1.8915652
5.75 0.11404032 -1.4354772 -0.035355339 0.99685917 0.07919467 1.3102713 -1.3404436 1.3621717 1.196231 0.095033604 -0.035355339 3.3995542
5.8 0.17373559 -1.429481 -0.047552826 0.99269514 0.12064972 1.3649698 -1.2847013 1.3499742 1.1912342 0.14477966 -0.047552826 4.4199455
5.85 0.23312928 -1.4210034 -0.049384417 0.98680794 0.16189533 1.4172988 -1.226729 1.3481426 1.1841695 0.1942744 -0.049384417 4.5756734
5.9 0.29211828 -1.4100592 -0.04045085 0.97920777 0.20285992 1.4671676 -1.1666273 1.3570762 1.1750493 0.2434319 -0.04045085 3.8216039
5.95 0.35060021 -1.3966673 -0.022699525 0.96990783 0.24347237 1.5144896 -1.1045004 1.3748275 1.1638894 0.29216684 -0.022699525 2.3999838
6 0.40847355 -1.380851 -1.1021821e-16 0.95892427 0.28366219 1.5591827 -1.0404563 1.3975271 1.1507091 0.34039462 0 1.3017082
6.05 0.46563783 -1.3626377 0.022699525 0.94627616 0.3233596 1.6011692 -0.97460614 1.4202266 1.1355314 0.38803153 0.022699525 2.3999838
6.1 0.52199383 -1.342059 0.04045085 0.93198544 0.36249572 1.6403764 -0.90706417 1.4379779 1.1183825 0.43499486 0.04045085 3.8216039
6.15 0.57744373 -1.3191508 0.049384417 0.91607692 0.40100259 1.676736 -0.83794766 1.4469115 1.0992923 0.4812031 0.049384417 4.5756734
6.2 0.63189126 -1.2939526 0.047552826 0.89857822 0.43881337 1.7101851 -0.76737659 1.4450799 1.0782939 0.52657605 0.047552826 4.4199455
6.25 0.68524191 -1.2665084 0.035355339 0.87951972 0.47586244 1.7406656 -0.69547347 1.4328824 1.0554237 0.57103493 0.035355339 3.3995542
6.3 0.73740309 -1.2368657 0.01545085 0.85893449 0.51208548 1.7681245 -0.6223631 1.4129779 1.0307214 0.61450257 0.01545085 1.8915652
6.35 0.78828423 -1.2050759 -0.0078217233 0.83685828 0.54741961 1.7925142 -0.54817239 1.3897053 1.0042299 0.65690353 -0.0078217233 1.475517
6.4 0.83779703 -1.1711943 -0.029389263 0.81332939 0.58180349 1.8137923 -0.47303014 1.3681378 0.97599527 0.69816419 -0.029389263 2.9170672
6.45 0.88585552 -1.1352797 -0.044550326 0.78838868 0.61517744 1.8319219 -0.39706677 1.3529767 0.94606642 0.73821293 -0.044550326 4.1658151
6.5 0.93237629 -1.0973944 -0.05 0.76207944 0.64748354 1.8468716 -0.32041414 1.3475271 0.91449532 0.77698025 -0.05 4.6281198
6.55 0.97727859 -1.0576042 -0.044550326 0.73444733 0.67866569 1.8586154 -0.24320533 1.3529767 0.8813368 0.81439883 -0.044550326 4.1658151
6.6 1.0204845 -1.0159781 -0.029389263 0.70554033 0.70866977 1.8671329 -0.16557434 1.3681378 0.84664839 0.85040373 -0.029389263 2.9170672
6.65 1.0619189 -0.97258839 -0.0078217233 0.6754086 0.73744371 1.8724093 -0.087655939 1.3897053 0.81049032 0.88493245 -0.0078217233 1.475517
6.7 1.1015101 -0.92751043 0.01545085 0.64410446 0.76493754 1.8744354 -0.0095853795 1.4129779 0.77292536 0.91792505 0.01545085 1.8915652
6.75 1.1391891 -0.88082244 0.035355339 0.61168225 0.79110355 1.8732078 0.068501819 1.4328824 0.7340187 0.94932426 0.035355339 3.3995542
6.8 1.1748907 -0.83260547 0.047552826 0.57819824 0.81589631 1.8687286 0.14647011 1.4450799 0.69383789 0.97907558 0.047552826 4.4199455
6.85 1.2085528 -0.78294321 0.049384417 0.54371056 0.83927279 1.8610055 0.22418414 1.4469115 0.65245267 1.0071274 0.049384417 4.5756734
6.9 1.2401171 -0.73192187 0.04045085 0.50827908 0.86119242 1.850052 0.30150903 1.4379779 0.60993489 1.0334309 0.04045085 3.8216039
6.95 1.2695287 -0.67963002 0.022699525 0.47196529 0.88161713 1.835887 0.37831054 1.4202266 0.56635835 1.0579406 0.022699525 2.3999838
7 1.2967365 -0.62615843 -4.904777e-17 0.43483224 0.90051148 1.8185352 0.45445535 1.3975271 0.52179869 1.0806138 0 1.3017082
7.05 1.3216934 -0.57159991 -0.022699525 0.39694438 0.91784267 1.7980267 0.52981129 1.3748275 0.47633326 1.1014112 -0.022699525 2.3999838
7.1 1.3443561 -0.51604917 -0.04045085 0.35836748 0.93358061 1.7743971 0.60424756 1.3570762 0.43004098 1.1202967 -0.04045085 3.8216039
7.15 1.3646851 -0.45960265 -0.049384417 0.31916851 0.94769798 1.7476873 0.67763493 1.3481426 0.38300221 1.1372376 -0.049384417 4.5756734
7.2 1.3826452 -0.40235832 -0.047552826 0.2794155 0.96017029 1.7179438 0.74984603 1.3499742 0.3352986 1.1522043 -0.047552826 4.4199455
7.25 1.3982053 -0.34441555 -0.035355339 0.23917746 0.97097587 1.6852182 0.82075549 1.3621717 0.28701296 1.165171 -0.035355339 3.3995542
7.3 1.4113382 -0.28587492 -0.01545085 0.19852425 0.98009598 1.6495673 0.89024025 1.3820762 0.2382291 1.1761152 -0.01545085 1.8915652
7.35 1.4220213 -0.22683806 0.0078217233 0.15752643 0.98751477 1.611053 0.95817966 1.4053488 0.18903172 1.1850177 0.0078217233 1.475517
7.4 1.4302359 -0.16740744 0.029389263 0.11625517 0.99321938 1.5697421 1.0244558 1.4269163 0.1395062 1.1918633 0.029389263 2.9170672
7.45 1.4359679 -0.10768622 0.044550326 0.074782096 0.9971999 1.5257064 1.0889537 1.4420774 0.089738516 1.1966399 0.044550326 4.1658151
7.5 1.4392072 -0.047778072 0.05 0.033179217 0.99944942 1.4790222 1.1515612 1.4475271 0.03981506 1.1993393 0.05 4.6281198
7.55 1.4399482 0.012213011 0.044550326 -0.0084812578 0.99996403 1.4297707 1.2121699 1.4420774 -0.010177509 1.1999568 0.044550326 4.1658151
7.6 1.4381897 0.072182894 0.029389263 -0.05012701 0.99874285 1.3780373 1.2706743 1.4269163 -0.060152412 1.1984914 0.029389263 2.9170672
7.65 1.4339347 0.13202748 0.0078217233 -0.091685748 0.99578799 1.3239118 1.3269731 1.4053488 -0.1100229 1.1949456 0.0078217233 1.475517
7.7 1.4271906 0.19164288 -0.01545085 -0.13308533 0.99110458 1.2674882 1.3809684 1.3820762 -0.1597024 1.1893255 -0.01545085 1.8915652
7.75 1.4179691 0.25092562 -0.035355339 -0.1742539 0.98470076 1.2088644 1.4325665 1.3621717 -0.20910468 1.1816409 -0.035355339 3.3995542
7.8 1.4062862 0.30977278 -0.047552826 -0.21511999 0.97658763 1.1481422 1.4816779 1.3499742 -0.25814399 1.1719052 -0.047552826 4.4199455
7.85 1.3921622 0.36808223 -0.049384417 -0.25561266 0.96677928 1.085427 1.5282174 1.3481426 -0.30673519 1.1601351 -0.049384417 4.5756734
7.9 1.3756215 0.42575273 -0.04045085 -0.29566162 0.95529273 1.0208276 1.572104 1.3570762 -0.35479394 1.1463513 -0.04045085 3.8216039
7.95 1.356693 0.48268419 -0.022699525 -0.33519735 0.94214794 0.95445621 1.6132617 1.3748275 -0.40223682 1.1305775 -0.022699525 2.3999838
